pc,pc_descrip,quantity,amount,admissions,date_time
2,"60-RETAIL - 43400-620",3,79.9900,0,2/22/2020 12:00:00 AM
5,"50-RENTAL - 43100-600",12,547.2400,5,2/22/2020 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",48,4889.9400,74,2/22/2020 12:00:00 AM
16,"30-SS GRP SKI - 42000-533",6,1524.6000,5,2/22/2020 12:00:00 AM
17,"40-CHILDCARE - 42300-546",3,408.8000,3,2/22/2020 12:00:00 AM
18,"41-CC MEALS - 44000-716",34,529.2000,40,2/22/2020 12:00:00 AM
20,"30-PRIVATE SKI - 42010-534",1,363.3800,0,2/22/2020 12:00:00 AM
31,"40-CC RENTAL - 43100-545",35,738.5000,36,2/22/2020 12:00:00 AM
42,"40-CC SKI - 42000-543",31,3833.5000,37,2/22/2020 12:00:00 AM
43,"40-CC BOARD - 42005-544",31,430.0000,37,2/22/2020 12:00:00 AM
47,"30-SS GRP BOARD - 42005-535",6,169.4000,5,2/22/2020 12:00:00 AM
48,"30-PRIVATE BRD - 42015-536",1,40.3800,0,2/22/2020 12:00:00 AM
9999991,"GRT",0,1254.0100,0,2/22/2020 12:00:00 AM
90000000,"CASH",0,27.3200,0,2/22/2020 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,-278.5900,0,2/22/2020 12:00:00 AM
90000003,"MASTERCARD",0,-414.0500,0,2/22/2020 12:00:00 AM
90000004,"VISA",0,-2922.4900,0,2/22/2020 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-11221.1300,0,2/22/2020 12:00:00 AM
