pc,pc_descrip,quantity,amount,admissions,date_time
2,"60-RETAIL - 43400-620",7,188.9700,0,2/29/2020 12:00:00 AM
5,"50-RENTAL - 43100-600",1,24.0000,1,2/29/2020 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",43,4051.8300,63,2/29/2020 12:00:00 AM
16,"30-SS GRP SKI - 42000-533",1,93.6000,1,2/29/2020 12:00:00 AM
17,"40-CHILDCARE - 42300-546",4,276.0000,4,2/29/2020 12:00:00 AM
18,"41-CC MEALS - 44000-716",42,658.4000,55,2/29/2020 12:00:00 AM
31,"40-CC RENTAL - 43100-545",45,968.0000,51,2/29/2020 12:00:00 AM
33,"41-NT CC MEALS - 44001-716",1,65.2800,6,2/29/2020 12:00:00 AM
34,"40-NT CC RENTAL - 43101-545",1,81.6000,6,2/29/2020 12:00:00 AM
42,"40-CC SKI - 42000-543",38,4881.5000,51,2/29/2020 12:00:00 AM
43,"40-CC BOARD - 42005-544",38,548.6000,51,2/29/2020 12:00:00 AM
44,"40-NT CC SKI - 42001-543",1,603.8400,6,2/29/2020 12:00:00 AM
45,"40-NT CC BOARD - 42006-544",1,65.2800,6,2/29/2020 12:00:00 AM
47,"30-SS GRP BOARD - 42005-535",1,10.4000,1,2/29/2020 12:00:00 AM
9999991,"GRT",0,1082.5500,0,2/29/2020 12:00:00 AM
90000000,"CASH",0,-81.9400,0,2/29/2020 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,16.3800,0,2/29/2020 12:00:00 AM
90000003,"MASTERCARD",0,-1545.8800,0,2/29/2020 12:00:00 AM
90000004,"VISA",0,-5050.6600,0,2/29/2020 12:00:00 AM
99999990,"ACCOUNT PAYMENTS & CREDITS",0,403.1400,0,2/29/2020 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-7340.8900,0,2/29/2020 12:00:00 AM
