pc,pc_descrip,quantity,amount,admissions,date_time
5,"50-RENTAL - 43100-600",0,0.0000,0,12/10/2020 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",0,0.0000,0,12/10/2020 12:00:00 AM
20,"30-PRIVATE SKI - 42010-534",0,0.0000,0,12/10/2020 12:00:00 AM
31,"40-CC RENTAL - 43100-545",0,0.0000,0,12/10/2020 12:00:00 AM
48,"30-PRIVATE BRD - 42015-536",0,0.0000,0,12/10/2020 12:00:00 AM
9999991,"GRT",0,0.0000,0,12/10/2020 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,-5991.7300,0,12/10/2020 12:00:00 AM
90000002,"DISCOVER",0,-465.1100,0,12/10/2020 12:00:00 AM
90000003,"MASTERCARD",0,-1149.1000,0,12/10/2020 12:00:00 AM
90000004,"VISA",0,-2592.5800,0,12/10/2020 12:00:00 AM
99999990,"ACCOUNT PAYMENTS & CREDITS",0,12726.5400,0,12/10/2020 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-2528.0200,0,12/10/2020 12:00:00 AM
