pc,pc_descrip,quantity,amount,admissions,date_time
2,"60-RETAIL - 43400-620",13,314.9200,0,12/25/2019 12:00:00 AM
5,"50-RENTAL - 43100-600",4,205.0000,2,12/25/2019 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",74,5703.7800,112,12/25/2019 12:00:00 AM
15,"10-NT LIFT - 40001-300",14,2856.0000,84,12/25/2019 12:00:00 AM
16,"30-SS GRP SKI - 42000-533",2,189.0000,2,12/25/2019 12:00:00 AM
17,"40-CHILDCARE - 42300-546",3,358.8000,3,12/25/2019 12:00:00 AM
18,"41-CC MEALS - 44000-716",81,1887.0000,126,12/25/2019 12:00:00 AM
31,"40-CC RENTAL - 43100-545",85,2551.6000,123,12/25/2019 12:00:00 AM
33,"41-NT CC MEALS - 44001-716",19,1236.2400,114,12/25/2019 12:00:00 AM
34,"40-NT CC RENTAL - 43101-545",19,1545.3000,114,12/25/2019 12:00:00 AM
42,"40-CC SKI - 42000-543",78,13216.3500,123,12/25/2019 12:00:00 AM
43,"40-CC BOARD - 42005-544",78,1512.0000,123,12/25/2019 12:00:00 AM
44,"40-NT CC SKI - 42001-543",19,8807.7000,114,12/25/2019 12:00:00 AM
45,"40-NT CC BOARD - 42006-544",19,1007.7600,114,12/25/2019 12:00:00 AM
47,"30-SS GRP BOARD - 42005-535",2,21.0000,2,12/25/2019 12:00:00 AM
9999991,"GRT",0,2401.5100,0,12/25/2019 12:00:00 AM
90000000,"CASH",0,-513.4900,0,12/25/2019 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,-608.5100,0,12/25/2019 12:00:00 AM
90000003,"MASTERCARD",0,-1465.0500,0,12/25/2019 12:00:00 AM
90000004,"VISA",0,-3875.7900,0,12/25/2019 12:00:00 AM
90000012,"CHECK",0,-21981.0000,0,12/25/2019 12:00:00 AM
90000015,"CHECK REQUEST",0,371.4600,0,12/25/2019 12:00:00 AM
90000039,"SNOWSPORT SQUARE",0,-1208.0000,0,12/25/2019 12:00:00 AM
99999990,"ACCOUNT PAYMENTS & CREDITS",0,23404.9300,0,12/25/2019 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-37938.5100,0,12/25/2019 12:00:00 AM
