pc,pc_descrip,quantity,amount,admissions,date_time
2,"60-RETAIL - 43400-620",3,89.9900,0,2/23/2020 12:00:00 AM
5,"50-RENTAL - 43100-600",-1,-16.0000,2,2/23/2020 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",42,6211.5300,96,2/23/2020 12:00:00 AM
16,"30-SS GRP SKI - 42000-533",1,189.0000,2,2/23/2020 12:00:00 AM
17,"40-CHILDCARE - 42300-546",9,979.8000,9,2/23/2020 12:00:00 AM
18,"41-CC MEALS - 44000-716",42,990.3000,71,2/23/2020 12:00:00 AM
31,"40-CC RENTAL - 43100-545",37,1231.3000,62,2/23/2020 12:00:00 AM
42,"40-CC SKI - 42000-543",33,7422.5000,62,2/23/2020 12:00:00 AM
43,"40-CC BOARD - 42005-544",33,822.3500,62,2/23/2020 12:00:00 AM
47,"30-SS GRP BOARD - 42005-535",1,21.0000,2,2/23/2020 12:00:00 AM
9999991,"GRT",0,1659.7200,0,2/23/2020 12:00:00 AM
90000000,"CASH",0,-120.1800,0,2/23/2020 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,-3946.1200,0,2/23/2020 12:00:00 AM
90000003,"MASTERCARD",0,-202.1100,0,2/23/2020 12:00:00 AM
90000004,"VISA",0,-2484.3800,0,2/23/2020 12:00:00 AM
99999990,"ACCOUNT PAYMENTS & CREDITS",0,76.4800,0,2/23/2020 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-12925.1800,0,2/23/2020 12:00:00 AM
