pc,pc_descrip,quantity,amount,admissions,date_time
2,"60-RETAIL - 43400-620",9,83.9700,0,1/4/2020 12:00:00 AM
5,"50-RENTAL - 43100-600",7,311.0000,4,1/4/2020 12:00:00 AM
13,"10-LIFT TICKETS - 40000-300",41,4159.8200,68,1/4/2020 12:00:00 AM
16,"30-SS GRP SKI - 42000-533",2,378.0000,4,1/4/2020 12:00:00 AM
17,"40-CHILDCARE - 42300-546",5,570.4000,5,1/4/2020 12:00:00 AM
18,"41-CC MEALS - 44000-716",44,779.8100,53,1/4/2020 12:00:00 AM
31,"40-CC RENTAL - 43100-545",42,1037.7500,48,1/4/2020 12:00:00 AM
42,"40-CC SKI - 42000-543",39,5619.8700,48,1/4/2020 12:00:00 AM
43,"40-CC BOARD - 42005-544",39,631.5500,48,1/4/2020 12:00:00 AM
47,"30-SS GRP BOARD - 42005-535",2,42.0000,4,1/4/2020 12:00:00 AM
65,"96-REVREC DEFER - 27175-000",61,13284.9300,305,1/4/2020 12:00:00 AM
9999991,"GRT",0,2488.1400,0,1/4/2020 12:00:00 AM
90000000,"CASH",0,104.8900,0,1/4/2020 12:00:00 AM
90000001,"AMERICAN EXPRESS",0,-1105.6300,0,1/4/2020 12:00:00 AM
90000003,"MASTERCARD",0,-1158.0500,0,1/4/2020 12:00:00 AM
90000004,"VISA",0,-3773.7100,0,1/4/2020 12:00:00 AM
90000015,"CHECK REQUEST",0,218.5200,0,1/4/2020 12:00:00 AM
90000039,"SNOWSPORT SQUARE",0,-3521.0000,0,1/4/2020 12:00:00 AM
99999990,"ACCOUNT PAYMENTS & CREDITS",0,4822.9100,0,1/4/2020 12:00:00 AM
99999999,"ACCOUNT CHARGES",0,-24975.1700,0,1/4/2020 12:00:00 AM
